bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
28.0,2501.0,2478.0,23.0,99.08036785285886,0.9196321471411437,70015.0,67672.0,2343.0,27.458045249456294,65.13761467889908,37.67956942944279,28.88262910798122
29.0,2500.0,2489.0,11.0,99.56,0.4399999999999977,72515.0,70161.0,2354.0,28.467961826857533,65.4434250764526,36.975463249595066,29.80501274426508
30.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,75016.0,72644.0,2372.0,29.475443892621808,65.94384209063108,36.46839819800927,30.625632377740303
31.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,77516.0,75125.0,2391.0,30.48211445450709,66.4720600500417,35.989945595534614,31.41990798828942
32.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,80017.0,77607.0,2410.0,31.489190768331873,67.00027800945232,35.51108724112044,32.20207468879668
33.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,82517.0,80091.0,2426.0,32.49707858603564,67.44509313316652,34.94801454713088,33.013602638087384
34.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,85018.0,82572.0,2446.0,33.50374914792093,68.00111203780929,34.497362889888365,33.7579721995094
35.0,2501.0,2489.0,12.0,99.52019192323071,0.47980807676928805,87519.0,85061.0,2458.0,34.51366572532217,68.33472338059494,33.82105765527277,34.60577705451587
36.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,90019.0,87544.0,2475.0,35.52114779108644,68.80733944954129,33.28619165845485,35.37131313131313
37.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,92520.0,90029.0,2491.0,36.529441360729706,69.2521545732555,32.72271321252579,36.141710156563626
38.0,2500.0,2478.0,22.0,99.12,0.8799999999999955,95020.0,92507.0,2513.0,37.534894666796504,69.86377536836252,32.32888070156602,36.811380819737366
39.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,97521.0,94994.0,2527.0,38.54399974031876,70.25298860161246,31.708988861293697,37.59161060546102
40.0,2500.0,2479.0,21.0,99.16,0.8400000000000034,100021.0,97473.0,2548.0,39.549858798325054,70.83680845148736,31.286949653162303,38.25470957613815
41.0,2501.0,2473.0,28.0,98.88044782087165,1.1195521791283483,102522.0,99946.0,2576.0,40.553283344694385,71.61523491798721,31.061951573292824,38.79891304347826
42.0,2500.0,2478.0,22.0,99.12,0.8799999999999955,105022.0,102424.0,2598.0,41.55873665076119,72.22685571309424,30.668119062333048,39.42417244033872
43.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,107523.0,104910.0,2613.0,42.56743597234395,72.64386989157632,30.076433919232365,40.149253731343286
44.0,2500.0,2478.0,22.0,99.12,0.8799999999999955,110023.0,107388.0,2635.0,43.57288927841075,73.25549068668334,29.682601408272596,40.754459203036056
45.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,112524.0,109871.0,2653.0,44.58037134417503,73.75590770086183,29.1755363566868,41.41387108933283
46.0,2500.0,2478.0,22.0,99.12,0.8799999999999955,115024.0,112349.0,2675.0,45.585824650241825,74.36752849596887,28.781703845727044,41.999626168224296
47.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,117525.0,114831.0,2694.0,46.59290096406661,74.89574645537948,28.302845491312873,42.62472160356347
48.0,2500.0,2480.0,20.0,99.2,0.7999999999999972,120025.0,117311.0,2714.0,47.5991657740124,75.45176536002224,27.852599586009838,43.2243920412675
49.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,122526.0,119798.0,2728.0,48.60827084753465,75.84097859327217,27.23270774573752,43.91422287390029
50.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,125027.0,122286.0,2741.0,49.617781672996394,76.20239088128996,26.584609208293564,44.61364465523531
51.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,127527.0,124768.0,2759.0,50.624857986821176,76.70280789546844,26.077949908647263,45.22218194998188
52.0,2501.0,2480.0,21.0,99.16033586565374,0.8396641343462647,130028.0,127248.0,2780.0,51.63112279676697,77.28662774534334,25.65550494857637,45.7726618705036
53.0,2500.0,2486.0,14.0,99.44,0.5600000000000023,132528.0,129734.0,2794.0,52.63982211834973,77.67584097859327,25.036018860243544,46.43307086614173
54.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,135029.0,132218.0,2811.0,53.647709936053495,78.14845704753962,24.500747111486127,47.03593027392387
55.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,137529.0,134700.0,2829.0,54.65478624987828,78.6488740617181,23.994087811839826,47.61399787910923
56.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,140030.0,137184.0,2846.0,55.662674067582046,79.12149013066444,23.458816063082395,48.20238931834153
57.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,142530.0,139667.0,2863.0,56.67015613334632,79.59410619961079,22.923950066264474,48.78344393992316
58.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,145031.0,142150.0,2881.0,57.67763819911059,80.09452321378927,22.416885014678684,49.340506768483166
59.0,2500.0,2480.0,20.0,99.2,0.7999999999999972,147531.0,144630.0,2901.0,58.68390300905639,80.65054211843203,21.96663910937564,49.85522233712513
60.0,2501.0,2480.0,21.0,99.16033586565374,0.8396641343462647,150032.0,147110.0,2922.0,59.69016781900218,81.23436196830693,21.54419414930475,50.34565366187543
